SubNum,condition,windowSize,MT,day,ER
1,M+S,1,1465.0,1,
1,M+S,2,1452.5,1,
1,M+S,3,1152.5,1,
1,M+S,7,1365.0,1,
1,S,1,3165.0,1,
1,S,2,1962.5,1,
1,S,3,1715.0,1,
1,S,7,1860.0,1,
2,M+S,1,3905.0,1,
2,M+S,2,3395.0,1,
2,M+S,3,2830.0,1,
2,M+S,7,2920.0,1,
2,S,1,4280.0,1,
2,S,2,2892.5,1,
2,S,3,3070.0,1,
2,S,7,2955.0,1,
3,M+S,1,2115.0,1,
3,M+S,2,1627.5,1,
3,M+S,3,1435.0,1,
3,M+S,7,1387.5,1,
3,S,1,3202.5,1,
3,S,2,1960.0,1,
3,S,3,1902.5,1,
3,S,7,1875.0,1,
4,M+S,1,2420.0,1,
4,M+S,2,1820.0,1,
4,M+S,3,1617.5,1,
4,M+S,7,1585.0,1,
4,S,1,3090.0,1,
4,S,2,2125.0,1,
4,S,3,2017.5,1,
4,S,7,1920.0,1,
5,M+S,1,4325.0,1,
5,M+S,2,4082.5,1,
5,M+S,3,4000.0,1,
5,M+S,7,3835.0,1,
5,S,1,4675.0,1,
5,S,2,3990.0,1,
5,S,3,3850.0,1,
5,S,7,4155.0,1,
6,M+S,1,3920.0,1,
6,M+S,2,2590.0,1,
6,M+S,3,2380.0,1,
6,M+S,7,2427.5,1,
6,S,1,4160.0,1,
6,S,2,2652.5,1,
6,S,3,2517.5,1,
6,S,7,2645.0,1,
7,M+S,1,2860.0,1,
7,M+S,2,2400.0,1,
7,M+S,3,2340.0,1,
7,M+S,7,2650.0,1,
7,S,1,3907.5,1,
7,S,2,2940.0,1,
7,S,3,2882.5,1,
7,S,7,2900.0,1,
8,M+S,1,1120.0,1,
8,M+S,2,1105.0,1,
8,M+S,3,1097.5,1,
8,M+S,7,1050.0,1,
8,S,1,2895.0,1,
8,S,2,2070.0,1,
8,S,3,1690.0,1,
8,S,7,1490.0,1,
9,M+S,1,2585.0,1,
9,M+S,2,1927.5,1,
9,M+S,3,1692.5,1,
9,M+S,7,1780.0,1,
9,S,1,3375.0,1,
9,S,2,2240.0,1,
9,S,3,1955.0,1,
9,S,7,2055.0,1,
10,M+S,1,3312.5,1,
10,M+S,2,2840.0,1,
10,M+S,3,3265.0,1,
10,M+S,7,3330.0,1,
10,S,1,4522.5,1,
10,S,2,3625.0,1,
10,S,3,3435.0,1,
10,S,7,3445.0,1,
11,M+S,1,3115.0,1,
11,M+S,2,2690.0,1,
11,M+S,3,2695.0,1,
11,M+S,7,2497.5,1,
11,S,1,4685.0,1,
11,S,2,3350.0,1,
11,S,3,3390.0,1,
11,S,7,3325.0,1,
12,M+S,1,1357.5,1,
12,M+S,2,1317.5,1,
12,M+S,3,1302.5,1,
12,M+S,7,1277.5,1,
12,S,1,3255.0,1,
12,S,2,1952.5,1,
12,S,3,1840.0,1,
12,S,7,1830.0,1,
13,M+S,1,1280.0,1,
13,M+S,2,1147.5,1,
13,M+S,3,1110.0,1,
13,M+S,7,1130.0,1,
13,S,1,2890.0,1,
13,S,2,1802.5,1,
13,S,3,1570.0,1,
13,S,7,1530.0,1,
14,M+S,1,2605.0,1,
14,M+S,2,2175.0,1,
14,M+S,3,2080.0,1,
14,M+S,7,2067.5,1,
14,S,1,3165.0,1,
14,S,2,2585.0,1,
14,S,3,2480.0,1,
14,S,7,2260.0,1,
1,M+S,1,965.0,2,
1,M+S,2,920.0,2,
1,M+S,3,890.0,2,
1,M+S,7,915.0,2,
1,S,1,3020.0,2,
1,S,2,1862.5,2,
1,S,3,1610.0,2,
1,S,7,1660.0,2,
2,M+S,1,2200.0,2,
2,M+S,2,2200.0,2,
2,M+S,3,2005.0,2,
2,M+S,7,2112.5,2,
2,S,1,3992.5,2,
2,S,2,2635.0,2,
2,S,3,2775.0,2,
2,S,7,2610.0,2,
3,M+S,1,1220.0,2,
3,M+S,2,1142.5,2,
3,M+S,3,1115.0,2,
3,M+S,7,1130.0,2,
3,S,1,2950.0,2,
3,S,2,1905.0,2,
3,S,3,1675.0,2,
3,S,7,1645.0,2,
4,M+S,1,1157.5,2,
4,M+S,2,1122.5,2,
4,M+S,3,1107.5,2,
4,M+S,7,1080.0,2,
4,S,1,3175.0,2,
4,S,2,1980.0,2,
4,S,3,1925.0,2,
4,S,7,1907.5,2,
5,M+S,1,2930.0,2,
5,M+S,2,2772.5,2,
5,M+S,3,2710.0,2,
5,M+S,7,2755.0,2,
5,S,1,4050.0,2,
5,S,2,3452.5,2,
5,S,3,3362.5,2,
5,S,7,3290.0,2,
6,M+S,1,1365.0,2,
6,M+S,2,1382.5,2,
6,M+S,3,1185.0,2,
6,M+S,7,1327.5,2,
6,S,1,3975.0,2,
6,S,2,2565.0,2,
6,S,3,2605.0,2,
6,S,7,2502.5,2,
7,M+S,1,1892.5,2,
7,M+S,2,1752.5,2,
7,M+S,3,1680.0,2,
7,M+S,7,1775.0,2,
7,S,1,3675.0,2,
7,S,2,2630.0,2,
7,S,3,2495.0,2,
7,S,7,2405.0,2,
8,M+S,1,745.0,2,
8,M+S,2,770.0,2,
8,M+S,3,850.0,2,
8,M+S,7,750.0,2,
8,S,1,2875.0,2,
8,S,2,1905.0,2,
8,S,3,1585.0,2,
8,S,7,1520.0,2,
9,M+S,1,1790.0,2,
9,M+S,2,1447.5,2,
9,M+S,3,1395.0,2,
9,M+S,7,1462.5,2,
9,S,1,3205.0,2,
9,S,2,2172.5,2,
9,S,3,1915.0,2,
9,S,7,2010.0,2,
10,M+S,1,2132.5,2,
10,M+S,2,2095.0,2,
10,M+S,3,2117.5,2,
10,M+S,7,2080.0,2,
10,S,1,3790.0,2,
10,S,2,3145.0,2,
10,S,3,2830.0,2,
10,S,7,2860.0,2,
11,M+S,1,1765.0,2,
11,M+S,2,1525.0,2,
11,M+S,3,1730.0,2,
11,M+S,7,1707.5,2,
11,S,1,3670.0,2,
11,S,2,2690.0,2,
11,S,3,2465.0,2,
11,S,7,2525.0,2,
12,M+S,1,882.5,2,
12,M+S,2,1097.5,2,
12,M+S,3,1110.0,2,
12,M+S,7,1000.0,2,
12,S,1,3185.0,2,
12,S,2,1875.0,2,
12,S,3,1765.0,2,
12,S,7,1755.0,2,
13,M+S,1,780.0,2,
13,M+S,2,770.0,2,
13,M+S,3,772.5,2,
13,M+S,7,735.0,2,
13,S,1,2832.5,2,
13,S,2,1740.0,2,
13,S,3,1520.0,2,
13,S,7,1357.5,2,
14,M+S,1,1595.0,2,
14,M+S,2,1815.0,2,
14,M+S,3,1595.0,2,
14,M+S,7,1645.0,2,
14,S,1,3010.0,2,
14,S,2,2195.0,2,
14,S,3,2205.0,2,
14,S,7,2180.0,2,
1,M+S,1,860.0,3,
1,M+S,2,835.0,3,
1,M+S,3,837.5,3,
1,M+S,7,860.0,3,
1,S,1,3012.5,3,
1,S,2,1825.0,3,
1,S,3,1580.0,3,
1,S,7,1442.5,3,
2,M+S,1,1440.0,3,
2,M+S,2,1440.0,3,
2,M+S,3,1390.0,3,
2,M+S,7,1400.0,3,
2,S,1,3802.5,3,
2,S,2,2700.0,3,
2,S,3,2520.0,3,
2,S,7,2850.0,3,
3,M+S,1,1235.0,3,
3,M+S,2,1200.0,3,
3,M+S,3,1180.0,3,
3,M+S,7,1222.5,3,
3,S,1,2812.5,3,
3,S,2,1777.5,3,
3,S,3,1695.0,3,
3,S,7,1505.0,3,
4,M+S,1,937.5,3,
4,M+S,2,1002.5,3,
4,M+S,3,952.5,3,
4,M+S,7,980.0,3,
4,S,1,3115.0,3,
4,S,2,1900.0,3,
4,S,3,1875.0,3,
4,S,7,1855.0,3,
5,M+S,1,2085.0,3,
5,M+S,2,2050.0,3,
5,M+S,3,2090.0,3,
5,M+S,7,1965.0,3,
5,S,1,3785.0,3,
5,S,2,2967.5,3,
5,S,3,2947.5,3,
5,S,7,3040.0,3,
6,M+S,1,1340.0,3,
6,M+S,2,1195.0,3,
6,M+S,3,1182.5,3,
6,M+S,7,1240.0,3,
6,S,1,3830.0,3,
6,S,2,2495.0,3,
6,S,3,2335.0,3,
6,S,7,2485.0,3,
7,M+S,1,1350.0,3,
