day,BN,SubNum,condition,MT,ER
1,1,1,M,2180.0,0.5
1,1,1,M+S,2252.5,0.0
1,1,1,S,1940.0,0.25
1,1,2,M+S,3510.0,0.125
1,1,2,S,3030.0,0.125
1,1,3,M+S,1965.0,0.0
1,1,3,S,2257.5,0.25
1,1,4,M+S,2590.0,0.0
1,1,4,S,2832.5,0.25
1,1,5,M,6980.0,0.75
1,1,5,M+S,6240.0,0.125
1,1,5,S,5055.0,0.375
1,1,6,M,3160.0,0.875
1,1,6,M+S,3637.5,0.0
1,1,6,S,2740.0,0.125
1,1,7,M,3315.0,0.875
1,1,7,M+S,3157.5,0.0
1,1,7,S,3360.0,0.125
1,1,8,M,1895.0,0.375
1,1,8,M+S,2565.0,0.25
1,1,8,S,2165.0,0.25
1,1,9,M+S,2155.0,0.25
1,1,9,S,2297.5,0.0
1,1,10,M+S,4630.0,0.125
1,1,10,S,4167.5,0.0
1,1,11,M,4965.0,0.875
1,1,11,M+S,4240.0,0.25
1,1,11,S,4060.0,0.25
1,1,12,M,2180.0,0.625
1,1,12,M+S,2725.0,0.375
1,1,12,S,2155.0,0.375
1,1,13,M,1880.0,0.75
1,1,13,M+S,1715.0,0.0
1,1,13,S,2100.0,0.125
1,1,14,M,2965.0,0.75
1,1,14,M+S,3385.0,0.125
1,1,14,S,3125.0,0.0
1,2,1,M,1982.5,0.5
1,2,1,M+S,1612.5,0.0
1,2,1,S,1962.5,0.0
1,2,2,M+S,4297.5,0.0
1,2,2,S,3270.0,0.0
1,2,3,M,3715.0,0.875
1,2,3,M+S,1870.0,0.125
1,2,3,S,2292.5,0.25
1,2,4,M+S,2290.0,0.0
1,2,4,S,2622.5,0.0
1,2,5,M,4520.0,0.875
1,2,5,M+S,4205.0,0.0
1,2,5,S,4425.0,0.375
1,2,6,M+S,3187.5,0.0
1,2,6,S,3260.0,0.25
1,2,7,M,3110.0,0.625
1,2,7,M+S,3105.0,0.0
1,2,7,S,3230.0,0.25
1,2,8,M,3795.0,0.875
1,2,8,M+S,2580.0,0.0
1,2,8,S,2185.0,0.125
1,2,9,M,2880.0,0.875
1,2,9,M+S,2250.0,0.25
1,2,9,S,2495.0,0.125
1,2,10,M+S,4632.5,0.5
1,2,10,S,4122.5,0.25
1,2,11,M,5020.0,0.875
1,2,11,M+S,3682.5,0.25
1,2,11,S,4055.0,0.375
1,2,12,M,1587.5,0.75
1,2,12,M+S,1902.5,0.25
1,2,12,S,2210.0,0.375
1,2,13,M,1485.0,0.375
1,2,13,M+S,1557.5,0.25
1,2,13,S,1837.5,0.0
1,2,14,M,3070.0,0.875
1,2,14,M+S,2935.0,0.25
1,2,14,S,2872.5,0.0
1,3,1,M,1860.0,0.5
1,3,1,M+S,1420.0,0.0
1,3,1,S,1920.0,0.0
1,3,2,M,5710.0,0.875
1,3,2,M+S,3875.0,0.0
1,3,2,S,3285.0,0.125
1,3,3,M,2225.0,0.875
1,3,3,M+S,1935.0,0.0
1,3,3,S,2435.0,0.0
1,3,4,M,2360.0,0.625
1,3,4,M+S,1910.0,0.0
1,3,4,S,2242.5,0.25
1,3,5,M+S,4392.5,0.25
1,3,5,S,4705.0,0.25
1,3,6,M+S,2895.0,0.125
1,3,6,S,2572.5,0.0
1,3,7,M,2850.0,0.5
1,3,7,M+S,2725.0,0.125
1,3,7,S,3097.5,0.25
1,3,8,M,1920.0,0.625
1,3,8,M+S,2150.0,0.125
1,3,8,S,2192.5,0.0
1,3,9,M+S,2027.5,0.0
1,3,9,S,2285.0,0.375
1,3,10,M,3850.0,0.875
1,3,10,M+S,3410.0,0.125
1,3,10,S,4422.5,0.25
1,3,11,M,4790.0,0.75
1,3,11,M+S,3935.0,0.125
1,3,11,S,4277.5,0.0
1,3,12,M,1285.0,0.5
1,3,12,M+S,1470.0,0.125
1,3,12,S,2057.5,0.25
1,3,13,M,1340.0,0.375
1,3,13,M+S,1362.5,0.0
1,3,13,S,1715.0,0.0
1,3,14,M,2820.0,0.625
1,3,14,M+S,2642.5,0.25
1,3,14,S,2955.0,0.375
1,4,1,M,1920.0,0.375
1,4,1,M+S,1702.5,0.0
1,4,1,S,2055.0,0.375
1,4,2,M+S,3740.0,0.0
1,4,2,S,3715.0,0.0
1,4,3,M,2130.0,0.625
1,4,3,M+S,1587.5,0.0
1,4,3,S,2340.0,0.125
1,4,4,M,1950.0,0.75
1,4,4,M+S,2360.0,0.125
1,4,4,S,2620.0,0.375
1,4,5,M,5850.0,0.75
1,4,5,M+S,4100.0,0.0
1,4,5,S,4490.0,0.25
1,4,6,M+S,2965.0,0.375
1,4,6,S,3260.0,0.125
1,4,7,M,3380.0,0.375
1,4,7,M+S,2927.5,0.0
1,4,7,S,3295.0,0.0
1,4,8,M,1825.0,0.375
1,4,8,M+S,1905.0,0.125
1,4,8,S,2055.0,0.0
1,4,9,M,2940.0,0.75
1,4,9,M+S,2185.0,0.0
1,4,9,S,2170.0,0.375
1,4,10,M,3815.0,0.625
1,4,10,M+S,4267.5,0.0
1,4,10,S,4395.0,0.25
1,4,11,M,4155.0,0.25
1,4,11,M+S,3635.0,0.125
1,4,11,S,3645.0,0.375
1,4,12,M,1320.0,0.625
1,4,12,M+S,1375.0,0.5
1,4,12,S,2215.0,0.25
1,4,13,M,1587.5,0.5
1,4,13,M+S,1210.0,0.125
1,4,13,S,1675.0,0.125
1,4,14,M,3530.0,0.375
1,4,14,M+S,2660.0,0.125
1,4,14,S,2475.0,0.125
1,5,1,M,1362.5,0.0
1,5,1,M+S,1315.0,0.0
1,5,1,S,2110.0,0.125
1,5,2,M+S,2962.5,0.0
1,5,2,S,2640.0,0.125
1,5,3,M+S,1815.0,0.0
1,5,3,S,1935.0,0.0
1,5,4,M,1515.0,0.875
1,5,4,M+S,2130.0,0.0
1,5,4,S,2267.5,0.0
1,5,5,M,4935.0,0.625
1,5,5,M+S,4605.0,0.0
1,5,5,S,4335.0,0.125
1,5,6,M,3132.5,0.75
1,5,6,M+S,2945.0,0.0
1,5,6,S,3570.0,0.25
1,5,7,M,2885.0,0.125
1,5,7,M+S,2972.5,0.0
1,5,7,S,3230.0,0.125
1,5,8,M,1237.5,0.0
1,5,8,M+S,1290.0,0.25
1,5,8,S,2092.5,0.25
1,5,9,M,2370.0,0.625
1,5,9,M+S,1775.0,0.25
1,5,9,S,2085.0,0.125
1,5,10,M,4285.0,0.125
1,5,10,M+S,4385.0,0.125
1,5,10,S,3452.5,0.25
1,5,11,M,3530.0,0.25
1,5,11,M+S,3185.0,0.125
1,5,11,S,4815.0,0.0
1,5,12,M,1075.0,0.125
1,5,12,M+S,1205.0,0.125
1,5,12,S,2240.0,0.125
1,5,13,M,1155.0,0.125
1,5,13,M+S,1265.0,0.125
1,5,13,S,1845.0,0.125
1,5,14,M,2330.0,0.125
1,5,14,M+S,2485.0,0.0
1,5,14,S,2895.0,0.125
1,6,1,M,1512.5,0.25
1,6,1,M+S,1285.0,0.125
1,6,1,S,1790.0,0.375
1,6,2,M+S,3430.0,0.125
1,6,2,S,3260.0,0.125
1,6,3,M,1910.0,0.625
1,6,3,M+S,1837.5,0.0
1,6,3,S,2910.0,0.125
1,6,4,M,1580.0,0.375
1,6,4,M+S,1690.0,0.125
1,6,4,S,2017.5,0.0
1,6,5,M,5620.0,0.875
1,6,5,M+S,4502.5,0.25
1,6,5,S,4140.0,0.0
1,6,6,M,4505.0,0.625
1,6,6,M+S,2670.0,0.125
1,6,6,S,3110.0,0.125
1,6,7,M,2470.0,0.0
1,6,7,M+S,2470.0,0.0
1,6,7,S,3152.5,0.25
1,6,8,M,1012.5,0.0
1,6,8,M+S,1135.0,0.125
1,6,8,S,2165.0,0.125
1,6,9,M,2202.5,0.25
1,6,9,M+S,2160.0,0.0
1,6,9,S,2242.5,0.25
1,6,10,M,3947.5,0.5
1,6,10,M+S,3305.0,0.125
1,6,10,S,4075.0,0.0
1,6,11,M,2785.0,0.125
1,6,11,M+S,2797.5,0.25
1,6,11,S,3570.0,0.125
1,6,12,M,1182.5,0.0
1,6,12,M+S,1590.0,0.125
1,6,12,S,1805.0,0.375
1,6,13,M,1175.0,0.125
1,6,13,M+S,1205.0,0.125
1,6,13,S,1760.0,0.0
1,6,14,M,2865.0,0.375
1,6,14,M+S,2080.0,0.125
1,6,14,S,2652.5,0.0
1,7,1,M,1087.5,0.25
1,7,1,M+S,1235.0,0.25
1,7,1,S,1735.0,0.25
