SubNum,condition,RT,ER
1.0,M+S,340.0,1.0
2.0,M+S,410.0,1.0
3.0,M+S,340.0,1.0
4.0,M+S,412.5,1.0
5.0,M+S,410.0,1.0
6.0,M+S,432.5,1.0
7.0,M+S,312.5,1.0
8.0,M+S,360.0,0.9833333333333333
9.0,M+S,307.5,1.0
10.0,M+S,410.0,1.0
11.0,M+S,400.0,1.0
12.0,M+S,380.0,0.9833333333333333
13.0,M+S,340.0,1.0
14.0,M+S,320.0,0.9833333333333333
1.0,M+S (changed),640.0,0.5
2.0,M+S (changed),967.5,0.6666666666666667
3.0,M+S (changed),560.0,0.33333333333333337
4.0,M+S (changed),570.0,0.5833333333333333
5.0,M+S (changed),775.0,0.5833333333333333
6.0,M+S (changed),830.0,0.5
7.0,M+S (changed),715.0,0.5
8.0,M+S (changed),545.0,0.9166666666666666
9.0,M+S (changed),675.0,0.25
10.0,M+S (changed),780.0,0.9166666666666666
11.0,M+S (changed),680.0,0.5833333333333333
12.0,M+S (changed),540.0,0.33333333333333337
13.0,M+S (changed),540.0,0.5
14.0,M+S (changed),582.5,0.5833333333333333
1.0,S,460.0,0.9333333333333333
2.0,S,575.0,1.0
3.0,S,460.0,0.9833333333333333
4.0,S,517.5,1.0
5.0,S,575.0,1.0
6.0,S,580.0,0.9833333333333333
7.0,S,560.0,0.9833333333333333
8.0,S,430.0,0.9666666666666667
9.0,S,485.0,0.9666666666666667
10.0,S,635.0,1.0
11.0,S,535.0,1.0
12.0,S,477.5,0.9666666666666667
13.0,S,445.0,0.9833333333333333
14.0,S,400.0,0.9666666666666667
