SubNum,dist_to_change,IPI_Value,condition
1,-5,205.0,S
1,-4,245.0,S
1,-3,210.0,S
1,-2,230.0,S
1,-1,225.0,S
1,0,240.0,S
1,1,235.0,S
1,2,235.0,S
1,3,235.0,S
1,4,235.0,S
2,-5,352.5,S
2,-4,385.0,S
2,-3,370.0,S
2,-2,385.0,S
2,-1,405.0,S
2,0,405.0,S
2,1,417.5,S
2,2,395.0,S
2,3,427.5,S
2,4,385.0,S
3,-5,170.0,S
3,-4,285.0,S
3,-3,205.0,S
3,-2,375.0,S
3,-1,285.0,S
3,0,390.0,S
3,1,295.0,S
3,2,340.0,S
3,3,310.0,S
3,4,312.5,S
4,-5,270.0,S
4,-4,285.0,S
4,-3,285.0,S
4,-2,295.0,S
4,-1,315.0,S
4,0,325.0,S
4,1,340.0,S
4,2,315.0,S
4,3,350.0,S
4,4,305.0,S
5,-5,260.0,S
5,-4,325.0,S
5,-3,280.0,S
5,-2,330.0,S
5,-1,320.0,S
5,0,355.0,S
5,1,325.0,S
5,2,345.0,S
5,3,332.5,S
5,4,325.0,S
6,-5,190.0,S
6,-4,255.0,S
6,-3,205.0,S
6,-2,300.0,S
6,-1,295.0,S
6,0,345.0,S
6,1,295.0,S
6,2,280.0,S
6,3,312.5,S
6,4,235.0,S
7,-5,525.0,S
7,-4,520.0,S
7,-3,550.0,S
7,-2,580.0,S
7,-1,605.0,S
7,0,640.0,S
7,1,625.0,S
7,2,630.0,S
7,3,625.0,S
7,4,640.0,S
8,-5,240.0,S
8,-4,262.5,S
8,-3,240.0,S
8,-2,240.0,S
8,-1,240.0,S
8,0,245.0,S
8,1,235.0,S
8,2,230.0,S
8,3,230.0,S
8,4,215.0,S
9,-5,240.0,S
9,-4,310.0,S
9,-3,270.0,S
9,-2,300.0,S
9,-1,320.0,S
9,0,335.0,S
9,1,330.0,S
9,2,320.0,S
9,3,345.0,S
9,4,307.5,S
10,-5,460.0,S
10,-4,470.0,S
10,-3,525.0,S
10,-2,560.0,S
10,-1,595.0,S
10,0,630.0,S
10,1,630.0,S
10,2,610.0,S
10,3,647.5,S
10,4,565.0,S
